Month,Tax revenue,Non-tax revenue,Total revenue,Domestic Debt,Foreign Debt,Outstanding Debt,Exchange Rates,Openness of economy,Unemployment rates,NCPI,Crude oil prices,Monetary Policy,Natural disasters,Population structure,Strikes,Salaries and Wages,Interest,Pension,Samurdhi,Other,Total,Capital and net lending
2015- Jan,85438,4214,89652,4511121,2982375,7493496,131.5508,1.827031725,4.7,112.8,48.07,1,0,81.744,1,41189,77776,11740,2960,30115,163780,27561
2015- Feb,84476,14113,98589,4562251,3022250,7584501,132.7293,1.685770969,4.5,108.9,57.93,1,0,81.74,3,46512,25269,11738,2909,28433,114861,31580
2015- Mar,87746,9568,97314,4600292,3069367,7669659,132.899,1.480104859,4.5,107.6,55.79,1,0,81.735,3,46558,40493,11934,2908,30407,132300,23349
2015- Apr,102955,6605,109560,4638333,3116484,7754817,132.8993,2.078800558,4.5,107,59.39,1,0,81.731,1,47141,24915,12600,3660,23278,111594,61703
2015- May,96459,10470,106929,4689463,3156359,7845822,133.496,1.789301433,4.7,108,64.56,1,0,81.727,1,47270,32633,12390,3660,34344,130297,15589
2015- Jun,100504,3100,103604,4766770,3181751,7948521,133.8952,1.775274958,5,109.1,62.34,1,0,81.722,0,42085,36932,13483,3514,20496,116510,78383
2015- Jul,105683,10145,115828,4873114,3191615,8064729,133.686,1.636858393,5.1,108.9,55.87,1,0,81.718,1,48861,89674,13129,3507,29699,184870,32677
2015- Aug,110531,5353,115884,4970431,3209693,8180124,133.8829,1.899264431,5,108.4,46.99,1,0,81.713,0,49339,32927,14403,3500,30151,130320,22228
2015- Sep,114447,7083,121530,5010427,3265924,8276351,138.8769,1.855016409,4.7,108.4,47.24,1,1,81.709,1,45809,41716,13533,3412,24085,128555,26387
2015- Oct,118879,14258,133137,4969092,3374731,8343823,140.8945,1.925825791,4.4,109.2,48.12,1,0,81.704,3,49802,31339,13638,3486,19697,117962,54570
2015- Nov,145163,7117,152280,4919547,3488482,8408029,142.0248,1.747256679,4.2,112,44.42,1,1,81.699,3,49900,40037,13245,3476,40526,147184,83522
2015- Dec,203497,7073,210570,4959196,3544031,8503227,143.4483,2.004509445,4.2,113.2,37.72,1,1,81.694,1,47264,35964,13487,3002,123708,223425,131188
2016- Jan,100583,8551,109134,5112416,3526155,8638571,143.9403,1.768417538,4.2,112,30.8,1,1,81.689,1,44891,81025,13880,3464,25399,168659,33341
2016- Feb,112953,6209,119162,5196403,3536196,8732599,143.9284,1.614288919,4.3,110.8,33.2,0,0,81.684,2,47160,30536,13294,3445,26623,121058,29190
2016- Mar,111867,5450,117317,5261552,3505110,8766662,143.9594,1.650158061,4.5,110,39.07,0,0,81.678,1,47188,42753,13717,3436,29698,136792,37280
2016- Apr,115808,11268,127076,5313884,3544200,8858084,143.9001,2.056447072,4.6,111.6,42.25,0,0,81.673,1,49365,42362,15117,3472,22872,133188,46625
2016- May,126813,10461,137274,5346798,3584617,8931415,145.6502,2.037943853,4.6,113.7,47.13,0,1,81.667,1,47292,47690,14165,3336,28140,140623,44134
2016- Jun,116882,14991,131873,5391140,3671072,9062212,145.2836,1.860759494,4.6,116.1,48.48,0,0,81.661,2,52791,45341,14474,3386,19225,135217,44476
2016- Jul,113836,8002,121838,5460418,3921537,9381955,145.407,1.607178912,4.5,115.2,45.07,0,0,81.655,3,42789,80726,14747,3393,29566,171221,55061
2016- Aug,133238,16483,149721,5345892,3970677,9316569,145.601,1.903613067,4.4,113.3,46.14,0,0,81.649,2,47464,44152,14136,3397,43581,152730,49543
2016- Sep,135337,30606,165943,5331707,4069692,9401399,145.7849,1.679808442,4.3,113.5,46.19,0,0,81.643,4,47633,57158,14957,3366,25745,148859,38005
2016- Oct,132621,20703,153324,5322355,3983955,9306310,146.8723,2.015789474,4.2,114.7,49.73,0,0,81.636,5,50138,35955,14500,3351,31423,135367,60019
2016- Nov,133134,21189,154323,5328936,4021614,9350550,147.771,2.139187353,4.1,116.6,46.44,0,0,81.63,4,49124,51101,14859,3343,28839,147266,52352
2016- Dec,130617,68461,199078,5341507,4045796,9387303,148.882,2.114202561,4.1,118,54.07,0,0,81.623,7,50636,52095,14057,3351,46662,166802,86075
2017- Jan,148149,7724,155873,5524875,4066271,9591146,150.0946,2.080374696,4.1,119.3,54.89,0,0,81.616,1,48524,113615,14467,3337,22819,202762,59896
2017- Feb,125304,7645,132949,5617634,4062286,9679920,150.8173,1.856648997,4.2,119.9,55.49,0,0,81.609,3,49374,37550,14856,3332,25554,130666,41593
2017- Mar,141628,5555,147183,5659540,4076652,9736192,151.4275,1.79429833,4.4,119.5,51.97,0,1,81.602,3,49626,57869,14852,3321,25124,150792,50613
2017- Apr,139213,13801,153014,5624004,4089673,9713677,151.7595,2.018245879,4.5,121,52.89,0,1,81.595,3,49994,34465,15011,3321,39038,141829,44689
2017- May,143495,10038,153533,5666264,4458245,10124509,152.3344,2.050285307,4.5,121.8,50.87,0,1,81.587,2,49332,51232,14848,3322,24515,143249,62498
2017- Jun,121178,12532,133710,5666488,4497380,10163868,152.8307,1.560721159,4.4,123.4,46.89,0,0,81.58,5,46803,53913,15246,3314,29638,148914,32669
2017- Jul,131240,11230,142470,5690647,4546473,10237120,153.666,1.567277384,4.2,122.4,48.69,0,0,81.572,2,48979,119739,15337,3309,30523,217887,64332
2017- Aug,144741,8901,153642,5659437,4626498,10285935,153.193,1.855786528,4.1,122.3,51.37,0,0,81.565,1,49902,50247,15636,3304,39166,158255,44215
2017- Sep,145046,10729,155775,5630870,4638270,10269140,152.8974,1.648565776,4,123.3,55.16,0,0,81.557,4,49405,56568,15578,3298,18620,143469,51636
2017- Oct,130333,12197,142530,5636976,4672677,10309653,153.5262,1.770397704,4,124.8,57.62,0,0,81.549,0,49386,33699,15412,3292,33390,135179,34912
2017- Nov,156827,29339,186166,5613774,4724994,10338768,153.6599,2.062280795,4.1,126.4,62.57,0,1,81.541,3,50174,63562,15502,3290,36426,168954,64183
2017- Dec,143024,31662,174686,5594427,4718618,10313045,153.1506,2.009318293,4.3,126.6,64.21,0,1,81.532,4,47019,63107,14314,3267,58030,185737,94127
