Month,Capital and net lending,Total Expenditure,Tax revenue,Non-tax revenue,Domestic Debt,Foreign Debt,Outstanding Government Debt,Monthly Average Exchange Rates (USD),Openness of economy,Unemployment rates,Inflation HL,Inflation Core,Crude oil prices (USD),Monetary Policy,Natural disasters,Population structure,No.of total Strikes,Easter bombing
,,,,,,,,,,,,,,,,,,
2015- Jan,27561,163780,85438,4214,4600392,3069367,7669759,131.5508,1.827031725,4.7,3.9,3.2,48.07,1,0,81.744,1,0
2015- Feb,31580,114861,84476,14113,4000333,3115172,7115505,132.7293,1.685770969,4.5,-3.5,-1.1,57.93,1,0,81.74,3,0
2015- Mar,23349,132300,87746,9568,3495657,3154719,6650376,132.899,1.480104859,4.5,-1.2,0,55.79,1,0,81.735,3,0
2015- Apr,61703,111594,102955,6605,3181751,3181751,6363502,132.8993,2.078800558,4.5,-0.6,0.4,59.39,1,0,81.731,1,0
2015- May,15589,130297,96459,10470,3114273,3195223,6309496,133.496,1.789301433,4.7,0.9,0.3,64.56,1,0,81.727,1,0
2015- Jun,78383,116510,100504,3100,3189985,3214940,6404925,133.8952,1.775274958,5,10,0.4,62.34,1,0,81.722,0,0
2015- Jul,32677,184870,105683,10145,3265924,3265924,6531848,133.686,1.636858393,5.1,-0.2,0.4,55.87,1,0,81.718,1,0
2015- Aug,22228,130320,110531,5353,3252446,3361614,6614060,133.8829,1.899264431,5,-0.5,0.4,46.99,1,0,81.713,0,0
2015- Sep,26387,128555,114447,7083,3273189,3469134,6742323,138.8769,1.855016409,4.7,0,0.5,47.24,1,1,81.709,1,0
2015- Oct,54570,117962,118879,14258,3505110,3544031,7049141,140.8945,1.925825791,4.4,0.7,0.4,48.12,1,0,81.704,3,0
2015- Nov,83522,147184,145163,7117,4046458,3556580,7603038,142.0248,1.747256679,4.2,2.6,0.8,44.42,1,1,81.699,3,0
2015- Dec,131188,223425,203497,7073,4680655,3535979,8216634,143.4483,2.004509445,4.2,1.1,0.2,37.72,1,1,81.694,1,0
2016- Jan,33341,168659,100583,8551,5112416,3526155,8638571,143.9403,1.768417538,4.2,-1.1,0.4,30.8,1,1,81.689,1,0
2016- Feb,29190,121058,112953,6209,5196403,3536196,8732599,143.9284,1.614288919,4.3,-1.1,0.4,33.2,0,0,81.684,2,0
2016- Mar,37280,136792,111867,5450,5261552,3505110,8766662,143.9594,1.650158061,4.5,-0.7,0.4,39.07,0,0,81.678,1,0
2016- Apr,46625,133188,115808,11268,5313884,3544200,8858084,143.9001,2.056447072,4.6,1.5,1.2,42.25,0,0,81.673,1,0
2016- May,44134,140623,126813,10461,5346798,3584617,8931415,145.6502,2.037943853,4.6,1.9,1.6,47.13,0,1,81.667,1,0
2016- Jun,44476,135217,116882,14991,5391140,3671072,9062212,145.2836,1.860759494,4.6,2.1,0.6,48.48,0,0,81.661,2,0
